CustomerId,FirstName,LastName,Company,Address,City,State,Country,PostalCode,Phone,Fax,Email,SupportRepId,InvoiceDate,BillingAddress,BillingCity,BillingState,BillingCountry,BillingPostalCode,Total,TrackId,UnitPrice,Quantity
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2010-03-11 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,3.98,3247,1.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2010-03-11 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,3.98,3248,1.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2010-06-13 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,3.96,447,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2010-06-13 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,3.96,449,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2010-06-13 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,3.96,451,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2010-06-13 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,3.96,453,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2010-09-15 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,5.94,1153,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2010-09-15 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,5.94,1157,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2010-09-15 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,5.94,1161,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2010-09-15 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,5.94,1165,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2010-09-15 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,5.94,1169,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2010-09-15 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,5.94,1173,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2011-05-06 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,0.99,2991,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2012-10-27 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,1.98,3436,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2012-10-27 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,1.98,3438,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2012-12-07 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,13.86,262,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2012-12-07 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,13.86,271,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2012-12-07 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,13.86,280,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2012-12-07 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,13.86,289,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2012-12-07 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,13.86,298,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2012-12-07 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,13.86,307,0.99,1
1,Luís,Gonçalves,"Embraer - Empresa Brasileira de Aeronáutica S.A.","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,"+55 (12) 3923-5555","+55 (12) 3923-5566",luisg@embraer.com.br,3,"2012-12-07 00:00:00","Av. Brigadeiro Faria Lima, 2170","São José dos Campos",SP,Brazil,12227-000,13.86,316,0.99,1
